Bill To:,IDs,Amounts Due
,881621455459,15.44
,881621455461,15.44
,881621455590,15.44
,881621455718,15.44
,881621455793,15.44
,881621455794,15.44
,881621455795,15.44
,881621455798,15.44
,881621455920,29.19
,881621456216,45.19
,881621456219,78.44
,881621456637,15.44
,881621456941,76.19
,881621456945,15.44
,881621456953,15.44
,881621457058,15.44
,881621457059,15.44
,881621457309,15.44
,881621457512,79.69
,881621457513,81.69
,881621457515,80.69
,881621457554,15.44
,881621457560,15.44
,881621457795,15.44
,881621457911,15.44
,881621457914,15.44
,881621458053,15.44
,881621458245,15.44
,881621458246,15.44
,881621458248,15.44
,881621458249,15.44
,881621458250,15.44
,881621458254,15.44
,881621458255,15.44
,881621458289,15.44
,881621458296,15.44
,881621458298,15.44
,881621458299,15.44
,881621458300,15.44
,881621458674,28.44
,881621458776,46.44
,881621458778,41.69
,881621466268,15.44
,881621466275,15.44
,881621466282,25.94
,881621466286,32.34
,881621466287,26.94
,881621466289,15.44
,881621466323,15.44
,881621466324,43.94
,881621466412,50.94
,881621466528,15.44
,881621466529,55.44
,881621466530,19.44
,881621466633,15.44
,881621466635,15.44
,881621466638,15.44
,881621466639,15.44
,881621466642,15.44
,881621466644,15.44
,881621466771,54.69
,881621466778,23.19
,881621466784,15.44
,881621466789,16.94
,881621466792,15.44
,881621466801,15.44
,881621466835,15.44
,881621466836,61.24
,881621466840,25.19
,881621466842,250.29
,881621466844,33.69
,881621466879,15.44
,881621466950,15.44
,881621466951,15.44
,881621466983,27.54
,881621467000,47.99
,881621467019,38.69
,881621467020,15.44
,881621467054,15.44
,881621467318,48.69
,881621467360,15.44
,881621467361,15.44
,881621467362,95.94
,881621467443,15.44
,881621467444,15.44
,881621467445,41.19
,881621467686,15.44
,881621467702,15.44
,881621467703,15.44
,881621467706,15.44
,881621467707,47.69
,881621467747,15.44
,881622400953,15.44
,881622400954,27.94
,881622400956,15.44
,881622400976,15.69
,881622400977,21.69
,881622400983,15.44
,881622414212,166.04
,881622418431,15.44
,881622427818,23.79
,881622429819,15.44
,881622429820,15.44
,881622429821,48.44
,881622429822,56.44
,881622429823,44.19
,881622429824,15.44
,881622429826,15.44
,881622429827,15.44
,881622429829,39.79
,881622429830,15.44
,881622429834,15.44
,881622429838,15.44
,881622429842,15.44
,881622429843,15.44
,881622430026,15.44
,881622430113,15.44
,881622430782,15.69
,881622431063,15.44
,881622431064,15.44
,881622431377,15.44
,881622431379,15.44
,881622431380,46.14
,881622431383,42.39
,881622431384,15.44
,881622431386,15.44
,881622431387,46.94
,881622431388,15.44
,881622431389,15.44
,881622431390,40.94
,881622431392,56.44
,881622431394,15.44
,881622431395,15.44
,881622431397,15.44
,881622431398,15.44
,881622431401,42.19
,881622431402,15.44
,881622431434,163.19
,881622441375,133.24
,881622441715,38.69
,881622441809,15.44
,881622441870,15.44
,881622441872,15.44
,881622441873,79.44
,881622442279,15.44
,881622443850,104.44
,881622479098,101.54
,881623419088,27.44
,881623419090,28.44
,881623419092,29.44
,881623419093,26.69
,881623419094,38.44
,881623419096,26.69
,881623419173,15.44
,881623419243,15.44
,881623419244,40.69
,881623419265,15.44
,881623419268,45.94
,881623419418,15.44
,881623419630,15.44
,881623425722,58.69
,881623438959,15.44
,881623438960,84.94
,881623438961,80.19
,881623439123,28.69
,881623439130,31.94
,881623439133,15.44
,881623439141,15.44
,881623439142,30.19
,881623439143,27.44
,881623439144,31.69
,881623439157,15.44
,881623439158,29.69
,881623439159,27.69
,881623439164,35.44
,881623439165,28.19
,881623439166,32.19
,881623439167,15.44
,881623439168,30.19
,881623439169,30.19
,881623439170,15.44
,881623439171,27.19
,881623439175,15.44
,881623439177,61.24
,881623439256,30.69
,881623439257,40.19
,881623439846,26.44
,881623439847,29.69
,881623439848,30.44
,881623439849,15.44
,881623439851,27.19
,881623439941,28.94
,881623439944,35.19
,881623439945,26.69
,881623439946,27.19
,881623439947,29.44
,881623439949,36.69
,881623444050,26.19
,881623444051,27.69
,881623444100,15.44
,881623444101,15.44
,881623444112,98.69
,881623444129,275.34
,881623444131,15.44
,881623444135,26.19
,881623444137,25.94
,881623444138,15.44
,881623444140,15.44
,881623444166,26.94
,881623444168,24.94
,881623444169,26.94
,881623444171,36.69
,881623444192,15.44
,881623444203,15.44
,881623444498,15.44
,881623444499,39.44
,881623444500,38.19
,881623444512,15.44
,881623444618,15.44
,881623444619,15.44
,881623463894,15.44
,881623463895,15.44
,881631433603,29.94
,881631436836,27.69
,881631436841,32.19
,881631436843,23.94
,881631436844,15.44
,881631436845,36.19
,881631436847,15.44
,881631436856,32.19
,881631437407,32.94
,881631437412,32.69
,881631437416,38.44
,881631437417,34.69
,881631437419,32.44
,881631437420,15.44
,881631437432,32.94
,881631437434,31.94
,881631437436,29.19
,881631438162,26.44
,881631438163,38.19
,881631438176,31.69
,881631438177,26.44
,881631438181,15.44
,881631438189,15.44
,881631438190,27.94
,881631438198,28.94
,881631438253,38.69
,881631438524,35.19
,881631438532,30.44
,881631438558,34.69
,881631438559,117.69
,881631438614,46.69
,881631438615,49.69
,881631438892,26.44
,881631438894,27.19
,881631438896,28.19
,881631438899,26.69
,881631438901,15.44
,881631438902,25.19
,881631438903,33.19
,881631438906,15.44
,881631438907,15.44
,881631438964,15.44
,881631438965,15.44
,881631438970,15.44
,881631439111,38.94
,881631439114,39.94
,881631439115,15.44
,881631439116,44.69
,881631439117,15.44
,881631439119,15.44
,881631439131,15.44
,881631439370,15.44
,881631439419,48.69
,881631439716,15.44
,881631439933,15.44
,881631439935,15.44
,881631439938,106.89
,881631439951,15.44
,881631439952,15.44
,881631440509,15.44
,881631442146,13.95
,881631443845,15.44
,881631443847,63.84
,881631443850,15.44
,881631443852,15.44
,881631443857,15.44
,881631443860,15.44
,881631443938,15.44
,881631443943,15.44
,881631444961,11.46
,881631444963,10.96
,881631444967,10.96
,881631444968,11.46
,881631444971,10.96
,881631444983,11.46
,881631444984,11.21
,881631444985,11.71
,881631444986,10.96
,881631444987,10.96
,881631444989,11.46
,881631444990,12.21
,881631444991,17.96
,881631454299,182.94
,881631454525,15.44
,881631454614,375.14
,881631454910,15.44
,881631455100,89.14
,881631455361,37.54
,881631455458,44.59
,881631455882,205.09
,881631456049,133.69
,881631456173,82.54
,881631456500,30.69
,881631457344,15.44
,881631457425,24.49
,881641403889,15.44
,881641404194,17.94
,881641405538,15.44
,881641405539,15.44
,881641405540,15.44
,881641415043,15.44
,881641415422,15.44
,881641415785,26.44
,881641429755,21.44
,881641429963,15.44
,881641429998,15.44
,881641448327,16.44
,881641449025,15.44
,881641449234,23.69
,881641449235,15.44
,881641449754,30.19
,881641449756,15.44
,881641450061,32.19
,881641450063,15.44
,881641450065,15.44
,881641450066,49.94
,881641450525,15.44
,881641451380,26.69
,881641451382,15.44
,881641451383,15.44
,881641451389,15.44
,881641451390,15.44
,881641451393,15.44
,881641451396,15.44
,881641451397,15.44
,881641451398,15.44
,881641451399,15.44
,881641451400,15.44
,881641465505,15.44
,881641465517,15.44
,881641465519,15.44
,881641465525,16.44
,881641465531,15.44
,881641465692,15.44
,881641465705,31.69
,881641465728,28.44
,881641465729,15.44
,881641465731,15.44
,881641465732,15.44
,881641465739,24.69
,881641465740,15.44
,881641465741,15.44
,881641465742,27.94
,881641465755,26.69
,881641465766,15.44
,881641465768,34.69
,881651412849,30.94
,881651412855,267.64
,881651412857,27.94
,881651422488,67.69
,881651422543,151.19
,881651422563,15.44
,881651422566,15.44
,881651422567,15.44
,881651423030,41.44
,881651423032,43.94
,881651423571,34.19
,881651423812,168.89
,881651431248,15.44
,881651431254,58.69
,881651431259,15.44
,881651431277,15.44
,881651431303,15.44
,881651431337,47.99
,881651431405,15.44
,881651431495,15.44
,881651431559,15.44
,881651431560,35.94
,881651431561,15.44
,881651434506,15.44
,881651434521,15.44
,881651434522,15.44
,881651434528,39.94
,881651434578,15.44
,881651434579,42.69
,881651434586,29.69
,881651434624,15.44
,881651434625,78.94
,881651434628,15.44
,881651434632,15.44
,881651434650,15.44
,881651434656,81.69
,881651434657,15.44
,881651434678,15.44
,881651434888,15.44
,881651435113,15.44
,881651435114,15.44
,881651435199,176.34
,881651446731,15.44
,881651453064,56.44
,881651453459,15.44
,881651453460,15.44
,881651453725,47.19
,881651453727,44.44
,881651453728,33.44
,881651460952,15.44
,881651461104,15.44
,881651461105,35.94
,881651461152,26.94
,881651461222,17.19
,881651461223,15.44
,881651461224,15.44
,881651461225,15.44
,881651477444,15.44
,881651477445,31.94
,881651477579,59.44
,881651477580,15.44
