,,,,,,,,Total for 000000000111,,,,,,,,,,,,$13.79,,,,
,,000000000112,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000112,,,,,,,,,,,,$13.79,,,,
,,000000000113,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000113,,,,,,,,,,,,$13.79,,,,
,,000000000114,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000114,,,,,,,,,,,,$13.79,,,,
,,000000000115,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000115,,,,,,,,,,,,$13.79,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000116,,,,,,,,,,,$13.79,,,,1.00,,,$13.79,,,,
10/11/2019 -,,,,,,,,Total for 000000000116,,,,,,,,,,,,$13.79,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,000000000117,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000117,,,,,,,,,,,,$13.79,,,,
,,000000000118,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000118,,,,,,,,,,,,$13.79,,,,
,,000000000119,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000119,,,,,,,,,,,,$13.79,,,,
,,000000000120,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000120,,,,,,,,,,,,$13.79,,,,
,,000000000121,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000121,,,,,,,,,,,,$13.79,,,,
,,000000000122,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000122,,,,,,,,,,,,$13.79,,,,
,,000000000123,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000123,,,,,,,,,,,,$13.79,,,,
,,000000000124,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000124,,,,,,,,,,,,$13.79,,,,
,,000000000125,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000125,,,,,,,,,,,,$11.57,,,,
,,000000000126,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000126,,,,,,,,,,,,$13.79,,,,
,,000000000127,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000127,,,,,,,,,,,,$13.79,,,,
,,000000000128,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000128,,,,,,,,,,,,$13.79,,,,
,,000000000129,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000129,,,,,,,,,,,,$13.79,,,,
,,000000000130,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,41.00,,,$0.04,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"5,024.00",,,$4.92,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000130,,,,,,,,,,,,$18.75,,,,
,,000000000131,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000131,,,,,,,,,,,,$13.79,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000133,,,,,,,,,,,$11.57,,,,1.00,,,$11.57,,,,
10/11/2019 -,,,,,,,,Total for 000000000133,,,,,,,,,,,,$11.57,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,000000000134,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000134,,,,,,,,,,,,$11.57,,,,
,,000000000135,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000135,,,,,,,,,,,,$11.57,,,,
,,000000000136,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000136,,,,,,,,,,,,$11.57,,,,
,,000000000137,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,147.00,,,$0.15,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"6,797.00",,,$6.96,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000137,,,,,,,,,,,,$20.90,,,,
,,000000000138,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000138,,,,,,,,,,,,$11.57,,,,
,,000000000139,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000139,,,,,,,,,,,,$11.57,,,,
,,000000000142,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,335.00,,,$0.35,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"13,872.00",,,$14.58,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000142,,,,,,,,,,,,$28.72,,,,
,,000000000143,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,372.00,,,$0.39,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"18,252.00",,,$19.17,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000143,,,,,,,,,,,,$33.35,,,,
,,000000000144,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000144,,,,,,,,,,,,$13.79,,,,
,,000000000145,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,10.00,,,$0.01,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,40.00,,,$0.04,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000145,,,,,,,,,,,,$13.84,,,,
,,000000000146,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000146,,,,,,,,,,,,$13.79,,,,
,,000000000147,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000147,,,,,,,,,,,,$13.79,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000148,,,,,,,,,,,$13.79,,,,1.00,,,$13.79,,,,
10/11/2019 -,,,,,,,,Total for 000000000148,,,,,,,,,,,,$13.79,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,000000000149,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000149,,,,,,,,,,,,$13.79,,,,
,,000000000150,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000150,,,,,,,,,,,,$13.79,,,,
,,000000000151,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000151,,,,,,,,,,,,$13.79,,,,
,,000000000152,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000152,,,,,,,,,,,,$13.79,,,,
,,000000000153,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000153,,,,,,,,,,,,$13.79,,,,
,,000000000154,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000154,,,,,,,,,,,,$13.79,,,,
,,000000000155,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000155,,,,,,,,,,,,$13.79,,,,
,,000000000156,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000156,,,,,,,,,,,,$13.79,,,,
,,000000000157,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000157,,,,,,,,,,,,$13.79,,,,
,,000000000158,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000158,,,,,,,,,,,,$13.79,,,,
,,000000000159,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000159,,,,,,,,,,,,$13.79,,,,
,,000000000160,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000160,,,,,,,,,,,,$13.79,,,,
,,000000000161,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000161,,,,,,,,,,,,$13.79,,,,
,,000000000162,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000162,,,,,,,,,,,,$13.79,,,,
,,000000000163,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000163,,,,,,,,,,,,$13.79,,,,
,,000000000164,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000164,,,,,,,,,,,,$13.79,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000165,,,,,,,,,,,$13.79,,,,1.00,,,$13.79,,,,
10/11/2019 -,,,,,,,,Total for 000000000165,,,,,,,,,,,,$13.79,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,000000000166,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000166,,,,,,,,,,,,$11.57,,,,
,,000000000167,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000167,,,,,,,,,,,,$11.57,,,,
,,000000000168,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000168,,,,,,,,,,,,$11.57,,,,
,,000000000169,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000169,,,,,,,,,,,,$11.57,,,,
,,000000000170,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000170,,,,,,,,,,,,$11.57,,,,
,,000000000171,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000171,,,,,,,,,,,,$11.57,,,,
,,000000000172,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000172,,,,,,,,,,,,$11.57,,,,
,,000000000173,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000173,,,,,,,,,,,,$11.57,,,,
,,000000000174,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000174,,,,,,,,,,,,$11.57,,,,
,,000000000175,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000175,,,,,,,,,,,,$11.57,,,,
,,000000000176,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000176,,,,,,,,,,,,$11.57,,,,
,,000000000177,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$11.57,,,,1.00,,,$11.57,,,,
,,,,,,,,Total for 000000000177,,,,,,,,,,,,$11.57,,,,
,,000000000178,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,337.00,,,$0.35,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"16,075.00",,,$16.87,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000178,,,,,,,,,,,,$31.01,,,,
,,000000000179,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,313.00,,,$0.33,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"15,087.00",,,$15.84,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000179,,,,,,,,,,,,$29.96,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000180,,,,,,,,,,,$13.79,,,,1.00,,,$13.79,,,,
10/11/2019 -,,,,,,,,Total for 000000000180,,,,,,,,,,,,$13.79,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,000000000181,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000181,,,,,,,,,,,,$13.79,,,,
,,000000000182,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000182,,,,,,,,,,,,$13.79,,,,
,,000000000183,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000183,,,,,,,,,,,,$13.79,,,,
,,000000000184,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,351.00,,,$0.37,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"13,612.00",,,$14.27,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000184,,,,,,,,,,,,$28.43,,,,
,,000000000185,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,332.00,,,$0.35,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"14,466.00",,,$15.17,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000185,,,,,,,,,,,,$29.31,,,,
,,000000000186,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,111.00,,,$0.12,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"4,590.00",,,$4.77,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000186,,,,,,,,,,,,$18.68,,,,
,,000000000187,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,111.00,,,$0.12,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"3,023.00",,,$3.14,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000187,,,,,,,,,,,,$17.05,,,,
,,000000000188,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,111.00,,,$0.12,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"1,456.00",,,$1.51,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000188,,,,,,,,,,,,$15.42,,,,
,,000000000189,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,90192-90171,,,SBD Usage,,,,,$1.05,,,,111.00,,,$0.12,,,,
,,,,,90192-92171,,,SBD Usage (out-of-allowance for,,,,,$1.05,,,,"1,456.00",,,$1.51,,,,
,,,,,,,,90192-90171),,,,,,,,,,,,,,,,
,,,,,,,,Total for 000000000189,,,,,,,,,,,,$15.42,,,,
,,881621455173,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455173,,,,,,,,,,,,$15.44,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,,Rate,,,,Quantity,,,Amount,,,,
1305M319FNRMA,,881621455174,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
0221 P20001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total for 881621455174,,,,,,,,,,,,$15.44,,,,
10/11/2019 -,,,,,,,,,,,,,,,,,,,,,,,,
09/14/2021,,881621455175,,,90190-90098,,,Iridium RUDICS   Circuit Switched Data Call,,,,,$0.75,,,,25.33,,,$19.00,,,,
,,,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455175,,,,,,,,,,,,$34.44,,,,
,,881621455248,,,90190-90098,,,Iridium RUDICS   Circuit Switched Data Call,,,,,$0.75,,,,139.33,,,$104.50,,,,
,,,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455248,,,,,,,,,,,,$119.94,,,,
,,881621455380,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455380,,,,,,,,,,,,$15.44,,,,
,,881621455443,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455443,,,,,,,,,,,,$15.44,,,,
,,881621455447,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455447,,,,,,,,,,,,$15.44,,,,
,,881621455448,,,90190-90098,,,Iridium RUDICS   Circuit Switched Data Call,,,,,$0.75,,,,6.67,,,$5.00,,,,
,,,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,90536-90107,,,Iridium to PSTN Voice and Data,,,,,$1.65,,,,4.00,,,$6.60,,,,
,,,,,,,,Call,,,,,,,,,,,,,,,,
,,,,,,,,Total for 881621455448,,,,,,,,,,,,$27.04,,,,
,,881621455455,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455455,,,,,,,,,,,,$15.44,,,,
,,881621455458,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
,,,,,,,,Total for 881621455458,,,,,,,,,,,,$15.44,,,,
,,881621455459,,,90190-90101,,,Iridium Subscription Fee,,,,,$15.44,,,,1.00,,,$15.44,,,,
